SIGLA,SIGNIFICADO
4rever,forever
9vidades,novidades
abç,abraço
adapitador,adaptador
ae,aí
aew,oi
afz,aff
agr,agora
aham,sim
akbo,acabou
akele,aquele
aki,aqui
amgo,amigo
amour,amor
amul,amo
anaum,anão
anju,anjo
aq,aqui
aqê,aqui
arkivu,arquivo
asho,acho
ashu,acho
at+,até mais
axa,acha
axo,acho
axu,acho
apx,apaixonada
slc,você está louco
bjus,beijos
dm,menssagem privada
dlç,delicia 
bashando,baixando
baum,bom
baxin,baixinho
bb,bebê
bbeu,bebeu
beim,bem
bgd,obrigado
bikim,biquinho
bikini,biquine
bj,beijo
bjs,beijos
bju,beijo
bls,beleza
blz,beleza
bora,embora
boua,boa
brig's,obrigado
brink's,brincadeira
brinquedin,brinquedinho
btf,boto fé
bv,boca virgem
c/,com
calmin,calmo
caracow,caracaou
caxorro,cachorro
cda,cada
cedaum,cedão
cel,celular
chegay,cheguei
choranu,chorando
clike,clique
cmg,comigo
cnte,conte
cntg,contigo
coe,qual é
colok,colocar
coment's,comentário
comg,comigo
complikadu,complicado
conkistô,consquistou
conte,conte
corguin,córrego
covard,covarde
coé,qual é
craq,craque
cruzis,cruzes
cs,casa
ct,certeza
ctz,certeza
culete,colete
cumé,comoé
cunhesu,conheço
cursin,cursinho
cv,conversa
cvard,covarde
cvs,conversar
cê,você
d nda,de nada
d+,demais
dakeles,daqueles
dakeê,daqui
daqle,daquele
decha,deixa
dels,deus
demorô,demorou
deol,deu
deprê,depressão
deshar,deixar
deskbelada,descabelada
detali,detalhe
dexha,deixa
direitin,direitinho
dmais,demais
docih,doce
dp,depois
dpois,depois
dps,depois
duenti,doente
dus,dos
eh,é
enqt,enquanto
ensaiu,ensaio
entaum,então
enterrey,enterrei
eol,eu
eskeçe,esquece
espantey,espantei
esqêci,esqueci
explike,explique
expliku,explico
facul,faculdade
fais,faz
falô,falou
fan,fã
fcd,fica com deus
fds,fim de semana
fi,filho
fikei,fiquei
fikr,ficar
fikva,ficava
find,fim de semana
fl,falo
flei,falei
flw,falou
fmz,firmeza
fossi,fosse
ft,foto
futs,futsal
fzr,fazer
gatchenha,gatinha
gateenha,gatinha
gatinhu,gatinho
gnt,gente
grazadels,graças a deus
hj,hoje
hoji,hoje
hr,hora
idd,idade
ineskecivel,inesquecível
infelix,infeliz
ingto,ingrato
intaum,então
intndndu,entendendo
inté,até
jah,já
jg,jogo
kbelo,cabelo
kbça,cabeça
kd,cadê
kda,cada
ke,que
kero,quero
ki,que
kietin,quieto
kinta,quinta
kis,quis
kiser,quiser
koe,qual é
kra,cara
kração,coração
ksa,casa
kvard,covarde
lanxi,lanche
legalz,legal
logiko,lógico
lokura,loucura
longi,longe
magine,imagine
maix,mais
majia,magia
makina,máquina
marka,marca
meldels,meu deus
meliiores,melhores
mels,meus
meo,meu
mermo,mesmo
miga,amiga
migz,amigas
mimi,dormir
mlke,moleque
mo,amor
mooh,amor
morenin,moreninho
moziin,amorzinho
mozinho,amor
mozão,amor
msg,mensagem
mskinha,musiquinha
msm,mesmo
mto,muito
mulek,moleque
n,não
nads,nada
namo,namorado(a)
naum,não
nda,nada
net,internet
ng,ninguém
ngm,ninguém
niver,aniversário
noiti,noite
noix,nós
novis,novidades
noês,nós
nunk,nunca
nuss,nossa
obg,obrigado
obgda,obrigada
obv,óbvio
oc,você
okay,tudo certo
oq,o que
ospital,hospital
p/,para
paishão,paixão
paliaçada,palhaçada
parecenu,parecendo
pc,computador
pdc,pode crer
pde,pode
perfoh,perfeito
pkna,pequena
pkno,pequeno
podexá,pode deixar
poka,pouca
pokin,pouquinho
pouku,pouco
pprt,papo reto
pq,porque
pqê,porquê
pra,para
principi,príncipe
pro,para o
pueira,poeira
pufavô,por favor
pulus,pulos
purke,porque
pusha,puxar
q,que
qdo,quando
qdô,quando
qlqr,qualquer
qm,quem
qnto,quanto
qq,qualquer
qrendo,querendo
qria,queria
qro,quero
qse,quase
qto,quanto
quiança,criança
qzr,quiser
qê,que
rapá,rapaz
rasho,arraso
rox,agitou muito
s,sim
saite,site
santin,santo
sddz,saudades
seol,seu
serin,sério
shamar,chamar
shegou,chegou
shuver,chover
sinhê,sim
smp,sempre
soh,só
solidariu,solidário
sonin,soninho
soutero,solteiro
stranho,estranho
stóra,estoura
sux,algo ruim
t+,até mais
tadin,coitadinho
tah,tá
talquei,está ok
taum,estão
tbm,também
tc,teclar
td,tudo
tdb,tudo bom
tds,todos
teim,tem
thi,te
tipow,tipo
tmj,estamos juntos
tomey,tomei
tou,estou
tp,tipo
trais,traz
trankei,tranquei
trankilidade,tranquilidade
tá,está
té +,até mais
umiliá,humiliar
v6,vocês
vc,você
vdd,verdade
veix,vez
veiz,vez
vest,vestibular
vg,vírgula
virô,virou
vlw,valeu
volc,você
voley,vôlei
voltey,voltei
xau,tchau
xaudade,saudade
xegô,chegou
xeid,cheio de
xeru,cheiro
xorar,chorar
xover,chover
xênte,gente
ñ,não
bglh,bagulho
mt,muito
rt,retweet
mn,mano
dms,demais
dx,deixa
nmrl,namoral
qnd,quando
bnh,banho
fznd,fazendo
sqn,só que não
vcs,vocês
tb,também
tô,estou
to,estou
ta,está
tá,está
nao,não
mlk,moleque
mlq,moleque
rs,risos
nd,nada
ces,vocês
